Index;sexe;Age;Enfant_conduite_accompagne_logique;nombre_enfants_logique;Revenus_intervale;usage_vehicule;type_vehicule;Est_rouge_logique;points_perdus;age_vehicule;type_conduite;date_demande;formule;Tarif_devis_intervale
1;F;24;FAUX;VRAI;>125k;Commercial;Sports Car;FAUX;0;7.0;Highly Urban/ Urban;25/02/2022;dev_integral;301-400
2;F;91;VRAI;VRAI;50k-75k;Private;Minivan;FAUX;2;1.0;Highly Urban/ Urban;24/05/2022;dev_express;201-300
3;F;45;FAUX;VRAI;<25k;Private;Pickup;FAUX;0;4.0;z_Highly Rural/ Rural;24/01/2022;dev_express;201-300
4;F;2;FAUX;FAUX;<25k;Private;z_SUV;FAUX;3;5.0;Highly Urban/ Urban;20/04/2022;dev_integral;301-400
5;M;67;FAUX;FAUX;;Commercial;Panel Truck;FAUX;2;12.0;Highly Urban/ Urban;23/03/2022;dev_vip;601-700
6;F;31;FAUX;VRAI;75k-100k;Private;z_SUV;FAUX;2;15.0;z_Highly Rural/ Rural;23/03/2022;dev_premium;401-500
7;F;82;VRAI;VRAI;>125k;Commercial;Minivan;FAUX;0;9.0;z_Highly Rural/ Rural;13/03/2022;dev_express;201-300
8;M;67;FAUX;FAUX;50k-75k;Private;z_SUV;FAUX;1;10.0;Highly Urban/ Urban;09/03/2022;dev_premium;301-400
9;M;67;FAUX;FAUX;100k-125k;Private;Minivan;FAUX;0;14.0;Highly Urban/ Urban;29/01/2022;dev_premium;301-400
10;F;49;FAUX;FAUX;;Commercial;Panel Truck;VRAI;1;10.0;Highly Urban/ Urban;26/03/2022;dev_integral;301-400
11;F;56;VRAI;VRAI;<25k;Private;Minivan;FAUX;0;10.0;Highly Urban/ Urban;26/05/2022;dev_express;201-300
12;M;6;FAUX;VRAI;<25k;Private;z_SUV;FAUX;0;1.0;Highly Urban/ Urban;27/01/2022;dev_premium;301-400
13;F;73;FAUX;FAUX;50k-75k;Private;z_SUV;FAUX;0;18.0;Highly Urban/ Urban;08/05/2022;dev_express;201-300
14;M;6;FAUX;FAUX;<25k;Commercial;Van;FAUX;5;6.0;z_Highly Rural/ Rural;02/05/2022;dev_integral;301-400
15;M;78;FAUX;VRAI;25k-50k;Private;Minivan;FAUX;0;1.0;Highly Urban/ Urban;15/04/2022;dev_integral;301-400
16;M;85;FAUX;FAUX;25k-50k;Private;Minivan;FAUX;0;13.0;Highly Urban/ Urban;11/05/2022;dev_express;201-300
17;F;50;FAUX;FAUX;100k-125k;Private;z_SUV;FAUX;0;15.0;Highly Urban/ Urban;12/04/2022;dev_integral;301-400
18;F;87;FAUX;FAUX;50k-75k;Commercial;Van;VRAI;1;8.0;Highly Urban/ Urban;04/03/2022;dev_express;201-300
19;F;68;FAUX;FAUX;75k-100k;Private;Minivan;VRAI;0;11.0;Highly Urban/ Urban;05/02/2022;dev_express;201-300
20;F;83;FAUX;FAUX;25k-50k;Private;z_SUV;FAUX;0;10.0;Highly Urban/ Urban;25/04/2022;dev_integral;201-300
21;M;35;FAUX;VRAI;50k-75k;Private;Minivan;FAUX;0;16.0;z_Highly Rural/ Rural;20/03/2022;dev_express;201-300
22;M;92;VRAI;VRAI;25k-50k;Private;Minivan;FAUX;1;;Highly Urban/ Urban;27/03/2022;dev_premium;301-400
23;F;23;FAUX;FAUX;;Commercial;Van;VRAI;0;7.0;Highly Urban/ Urban;16/05/2022;dev_premium;301-400
24;F;82;FAUX;VRAI;25k-50k;Commercial;Sports Car;FAUX;5;1.0;Highly Urban/ Urban;06/02/2022;dev_premium;401-500
25;M;19;FAUX;FAUX;<25k;Commercial;Pickup;FAUX;1;1.0;Highly Urban/ Urban;27/04/2022;dev_express;201-300
26;M;66;FAUX;FAUX;;Private;Minivan;VRAI;1;;z_Highly Rural/ Rural;13/04/2022;dev_express;201-300
27;F;25;FAUX;FAUX;25k-50k;Private;Sports Car;FAUX;0;1.0;z_Highly Rural/ Rural;22/03/2022;dev_integral;201-300
28;F;45;FAUX;FAUX;75k-100k;Private;z_SUV;FAUX;5;;Highly Urban/ Urban;22/04/2022;dev_integral;201-300
29;F;54;FAUX;FAUX;50k-75k;Private;z_SUV;FAUX;0;1.0;Highly Urban/ Urban;23/03/2022;dev_vip;801-900
30;F;17;FAUX;FAUX;100k-125k;Private;z_SUV;FAUX;0;17.0;Highly Urban/ Urban;12/02/2022;dev_premium;301-400
31;F;49;FAUX;VRAI;25k-50k;Private;z_SUV;FAUX;0;1.0;Highly Urban/ Urban;14/01/2022;dev_express;201-300
32;M;39;FAUX;VRAI;25k-50k;Commercial;Minivan;VRAI;6;5.0;z_Highly Rural/ Rural;09/04/2022;dev_integral;301-400
33;F;66;FAUX;FAUX;100k-125k;Private;z_SUV;FAUX;3;9.0;Highly Urban/ Urban;23/03/2022;dev_express;201-300
34;M;5;FAUX;FAUX;25k-50k;Private;z_SUV;FAUX;2;6.0;z_Highly Rural/ Rural;04/02/2022;dev_premium;401-500
35;M;45;VRAI;VRAI;50k-75k;Private;Sports Car;FAUX;0;12.0;Highly Urban/ Urban;05/02/2022;dev_express;201-300
36;F;69;FAUX;FAUX;<25k;Private;z_SUV;FAUX;0;9.0;Highly Urban/ Urban;08/02/2022;dev_integral;301-400
37;F;62;FAUX;FAUX;25k-50k;Commercial;Sports Car;FAUX;0;15.0;Highly Urban/ Urban;06/02/2022;dev_express;201-300
38;F;7;FAUX;VRAI;75k-100k;Private;z_SUV;FAUX;2;14.0;Highly Urban/ Urban;09/02/2022;dev_integral;201-300
39;F;56;FAUX;FAUX;>125k;Private;Minivan;FAUX;0;15.0;Highly Urban/ Urban;26/05/2022;dev_integral;201-300
40;M;35;FAUX;FAUX;50k-75k;Private;z_SUV;FAUX;1;11.0;z_Highly Rural/ Rural;04/03/2022;dev_premium;401-500
41;F;19;VRAI;VRAI;;Private;Sports Car;FAUX;0;10.0;Highly Urban/ Urban;31/05/2022;dev_express;201-300
42;F;86;FAUX;VRAI;<25k;Private;z_SUV;FAUX;5;8.0;Highly Urban/ Urban;30/04/2022;dev_express;201-300
43;M;60;FAUX;VRAI;<25k;Commercial;Pickup;VRAI;0;10.0;Highly Urban/ Urban;20/03/2022;dev_express;201-300
44;F;58;VRAI;VRAI;50k-75k;Private;Pickup;VRAI;0;;Highly Urban/ Urban;02/04/2022;dev_premium;401-500
45;M;53;FAUX;FAUX;75k-100k;Private;z_SUV;FAUX;0;13.0;Highly Urban/ Urban;02/01/2022;dev_integral;301-400
46;F;66;FAUX;FAUX;75k-100k;Private;z_SUV;FAUX;4;15.0;Highly Urban/ Urban;24/02/2022;dev_express;201-300
47;M;77;FAUX;VRAI;<25k;Private;z_SUV;FAUX;1;1.0;Highly Urban/ Urban;05/04/2022;dev_express;201-300
48;F;42;FAUX;FAUX;>125k;Commercial;Panel Truck;VRAI;1;13.0;Highly Urban/ Urban;21/02/2022;dev_integral;301-400
49;M;78;FAUX;FAUX;75k-100k;Commercial;Van;VRAI;0;7.0;Highly Urban/ Urban;21/03/2022;dev_integral;201-300
50;F;39;VRAI;VRAI;50k-75k;Private;Van;VRAI;1;1.0;z_Highly Rural/ Rural;03/04/2022;dev_integral;201-300
51;F;25;FAUX;FAUX;25k-50k;Commercial;Pickup;VRAI;7;1.0;Highly Urban/ Urban;28/03/2022;dev_integral;301-400
52;F;49;FAUX;VRAI;25k-50k;Private;Minivan;FAUX;1;5.0;Highly Urban/ Urban;21/03/2022;dev_express;201-300
53;M;20;FAUX;FAUX;100k-125k;Private;Minivan;FAUX;0;7.0;Highly Urban/ Urban;23/05/2022;dev_express;201-300
54;F;48;FAUX;FAUX;50k-75k;Private;Sports Car;FAUX;0;19.0;Highly Urban/ Urban;03/05/2022;dev_express;201-300
55;F;6;FAUX;FAUX;75k-100k;Commercial;Minivan;FAUX;5;8.0;z_Highly Rural/ Rural;11/04/2022;dev_express;201-300
56;M;49;FAUX;FAUX;75k-100k;Private;Van;FAUX;0;13.0;Highly Urban/ Urban;05/01/2022;dev_premium;301-400
57;F;56;FAUX;VRAI;25k-50k;Commercial;Van;VRAI;4;9.0;Highly Urban/ Urban;14/05/2022;dev_integral;201-300
58;M;33;FAUX;FAUX;50k-75k;Private;z_SUV;FAUX;2;12.0;Highly Urban/ Urban;20/04/2022;dev_express;201-300
59;F;73;VRAI;VRAI;25k-50k;Private;Van;VRAI;0;1.0;Highly Urban/ Urban;22/01/2022;dev_express;201-300
60;F;31;VRAI;VRAI;25k-50k;Private;Sports Car;FAUX;1;7.0;Highly Urban/ Urban;26/04/2022;dev_express;201-300
61;F;73;FAUX;FAUX;75k-100k;Private;Minivan;FAUX;0;16.0;Highly Urban/ Urban;23/03/2022;dev_integral;201-300
62;F;55;FAUX;FAUX;25k-50k;Private;Pickup;FAUX;0;8.0;Highly Urban/ Urban;27/04/2022;dev_express;201-300
63;F;71;FAUX;VRAI;50k-75k;Commercial;Van;FAUX;0;5.0;Highly Urban/ Urban;24/05/2022;dev_integral;201-300
64;F;81;FAUX;VRAI;25k-50k;Private;Sports Car;FAUX;0;1.0;Highly Urban/ Urban;09/05/2022;dev_express;201-300
65;F;4;FAUX;FAUX;<25k;Private;z_SUV;FAUX;0;6.0;Highly Urban/ Urban;22/04/2022;dev_integral;201-300
66;M;51;FAUX;FAUX;50k-75k;Private;z_SUV;FAUX;5;1.0;Highly Urban/ Urban;17/05/2022;dev_express;201-300
67;M;69;FAUX;FAUX;75k-100k;Private;Pickup;FAUX;0;7.0;Highly Urban/ Urban;01/05/2022;dev_express;201-300
68;M;51;FAUX;FAUX;<25k;Private;Minivan;FAUX;3;5.0;z_Highly Rural/ Rural;29/05/2022;dev_express;201-300
69;M;73;FAUX;VRAI;<25k;Private;z_SUV;VRAI;2;13.0;Highly Urban/ Urban;04/04/2022;dev_express;201-300
70;F;24;FAUX;FAUX;75k-100k;Commercial;Pickup;FAUX;1;3.0;Highly Urban/ Urban;27/01/2022;dev_integral;301-400
