id_client;sexe;date_naissance;enfant_conduite_accompagne;nombre_enfants;revenus;usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule;tarif_devis
871024631;F;1999-09-25;0;1;125301;Commercial;Sports Car;no;0;7.0;Highly Urban/ Urban;2022-02-25 16:13:38;complet;dev_integral;323.39
7945239;F;1932-01-28;1;1;50815;Private;Minivan;no;2;1.0;Highly Urban/ Urban;2022-05-24 21:07:34;complet;dev_express;257.56
713692930;F;1978-09-15;0;2;21204;Private;Pickup;no;0;4.0;z_Highly Rural/ Rural;2022-01-24 08:17:21;complet;dev_express;250.68
588888550;F;2021-02-17;0;0;0;Private;z_SUV;no;3;5.0;Highly Urban/ Urban;2022-04-20 03:46:00;complet;dev_integral;300.3
69165559;M;1956-06-14;0;0;;Commercial;Panel Truck;no;2;12.0;Highly Urban/ Urban;2022-03-23 01:32:40;complet;dev_vip;648.13
573751437;F;1992-04-11;0;1;79606;Private;z_SUV;no;2;15.0;z_Highly Rural/ Rural;2022-03-23 22:20:50;complet;dev_premium;459.83
294816298;F;1941-03-18;2;2;130540;Commercial;Minivan;no;0;9.0;z_Highly Rural/ Rural;2022-03-13 01:10:59;complet;dev_express;261.28
686791659;M;1956-03-06;0;0;51278;Private;z_SUV;no;1;10.0;Highly Urban/ Urban;2022-03-09 03:43:53;complet;dev_premium;343.17
866093378;M;1956-02-18;0;0;115044;Private;Minivan;no;0;14.0;Highly Urban/ Urban;2022-01-29 10:17:49;complet;dev_premium;389.24
401200262;F;1974-03-07;0;0;;Commercial;Panel Truck;yes;1;10.0;Highly Urban/ Urban;2022-03-26 07:37:33;complet;dev_integral;310.66
926073051;F;1967-02-13;1;2;24060;Private;Minivan;no;0;10.0;Highly Urban/ Urban;2022-05-26 05:51:37;complet;dev_express;261.6
45830738;M;2017-05-14;0;4;20822;Private;z_SUV;no;0;1.0;Highly Urban/ Urban;2022-01-27 09:33:29;complet;dev_premium;380.99
429992959;F;1950-12-20;0;0;74426;Private;z_SUV;no;0;18.0;Highly Urban/ Urban;2022-05-08 13:32:05;complet;dev_express;251.44
46606719;M;2017-07-26;0;0;0;Commercial;Van;no;5;6.0;z_Highly Rural/ Rural;2022-05-02 08:44:46;complet;dev_integral;307.66
389315422;M;1945-10-07;0;1;38042;Private;Minivan;no;0;1.0;Highly Urban/ Urban;2022-04-15 13:09:59;complet;dev_integral;302.89
184578161;M;1938-02-12;0;0;45787;Private;Minivan;no;0;13.0;Highly Urban/ Urban;2022-05-11 02:24:06;complet;dev_express;279.3
765577228;F;1973-03-21;0;0;108152;Private;z_SUV;no;0;15.0;Highly Urban/ Urban;2022-04-12 01:20:55;complet;dev_integral;321.99
106556153;F;1936-02-01;0;0;53244;Commercial;Van;yes;1;8.0;Highly Urban/ Urban;2022-03-04 09:15:11;complet;dev_express;278.63
351243985;F;1955-04-04;0;0;76954;Private;Minivan;yes;0;11.0;Highly Urban/ Urban;2022-02-05 17:39:22;complet;dev_express;271.83
243016778;F;1940-05-23;0;0;43290;Private;z_SUV;no;0;10.0;Highly Urban/ Urban;2022-04-25 14:43:44;complet;dev_integral;287.68
411375726;M;1988-07-20;0;1;67278;Private;Minivan;no;0;16.0;z_Highly Rural/ Rural;2022-03-20 03:44:21;complet;dev_express;270.39
747049542;M;1931-12-02;1;3;29431;Private;Minivan;no;1;;Highly Urban/ Urban;2022-03-27 09:22:22;complet;dev_premium;376.14
582086109;F;2000-02-13;0;0;;Commercial;Van;yes;0;7.0;Highly Urban/ Urban;2022-05-16 02:39:00;complet;dev_premium;372.97
93412915;F;1941-04-24;0;3;48184;Commercial;Sports Car;no;5;1.0;Highly Urban/ Urban;2022-02-06 07:52:56;complet;dev_premium;455.67
461573915;M;2004-12-16;0;0;22059;Commercial;Pickup;no;1;1.0;Highly Urban/ Urban;2022-04-27 15:06:48;complet;dev_express;260.6
931284804;M;1957-08-18;0;0;;Private;Minivan;yes;1;;z_Highly Rural/ Rural;2022-04-13 00:52:49;complet;dev_express;257.29
384628643;F;1998-12-06;0;0;49780;Private;Sports Car;no;0;1.0;z_Highly Rural/ Rural;2022-03-22 13:32:35;complet;dev_integral;285.83
